EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20081124X43451,ERA09LA067,ACC,2008-11-23,2008-11-23 13:30:00.000,13:30,UTC,FL,33883,028346N,0814511W,28.062778,-81.753051
20081117X44716,ANC09LA011,ACC,2008-11-14,2008-11-14 19:33:00.000,19:33,UTC,AK,99702,644850N,0147557W,64.813888,-147.918609
20081101X33919,ERA09LA033,ACC,2008-11-01,2008-11-01 13:35:00.000,13:35,UTC,NC,27962,354831N,0764533W,35.808612,-76.759162
20081022X34515,CEN09LA031,ACC,2008-10-22,2008-10-22 14:57:00.000,14:57,UTC,CO,81527,385637N,1082059W,38.943611,-108.349723
20080826X01316,LAX08FA265,ACC,2008-08-10,2008-08-10 18:23:00.000,18:23,UTC,WY,82901,413930N,0010987W,41.658332,-109.135276
20080814X01240,DEN08LA137,ACC,2008-08-09,2008-08-09 20:32:00.000,20:32,UTC,TX,78801,291240N,0994436W,29.211111,-99.743331
20080811X01215,LAX08LA254,ACC,2008-08-02,2008-08-02 21:20:00.000,21:20,UTC,NV,89019,035460N,1151947W,35.766666,-115.329719
20080715X01051,DEN08MA116,ACC,2008-06-29,2008-06-29 22:47:00.000,22:47,UTC,AZ,86001,035123N,0111383W,35.200832,-111.634162
20080509X00643,DFW08LA089,ACC,2008-03-28,2008-03-28 16:30:00.000,16:30,UTC,LA,70510,295644N,0092849W,29.945554,-92.146942
20080509X00645,LAX08WA071,ACC,2008-02-13,2008-02-13 10:15:00.000,10:15,NULL,NULL,NULL,024230S,0011510E,-24.383333,115.01667
20080130X00124,LAX08FA049,ACC,2008-01-20,2008-01-20 23:34:00.000,23:34,UTC,CA,92882,335256N,0117373W,33.882221,-117.6175
20080107X00026,SEA08LA057,ACC,2008-01-01,2008-01-01 22:30:00.000,22:30,UTC,CA,95476,381326N,1222659W,38.223888,-122.449722
20071227X02001,NYC08FA054,ACC,2007-12-08,2007-12-08 19:54:00.000,19:54,UTC,FL,33067,262050N,0801855W,26.347221,-80.315277
20071130X01882,SEA08LA031,ACC,2007-11-20,2007-11-20 20:34:00.000,20:34,UTC,WA,98335,047169N,0122275W,47.269165,-122.451385
20071024X01652,MIA08LA005,ACC,2007-10-21,2007-10-21 21:53:00.000,21:53,UTC,NY,11735,404346N,0732448W,40.729442,-73.41333
20070924X01441,SEA07FA264,ACC,2007-09-14,2007-09-14 17:00:00.000,17:00,UTC,NV,89506,393953N,1195211W,39.664722,-119.86972
20070927X01454,NYC07LA208,ACC,2007-09-02,2007-09-02 13:30:00.000,13:30,UTC,FL,32124,029449N,0081248W,29.080278,-81.046669
20070518X00587,CHI07FA140,ACC,2007-05-11,2007-05-11 19:02:00.000,19:02,UTC,OH,45241,391758N,0842232W,39.299446,-84.375556
20070320X00308,DFW07LA082,ACC,2007-03-08,2007-03-08 17:30:00.000,17:30,UTC,TX,78006,294347N,0984143W,29.729722,-98.695274
20070319X00305,DEN07WA067,ACC,2007-03-07,2007-03-07 19:16:00.000,19:16,UTC,NULL,0,515927N,0065016E,51.990833,6.837777
20070227X00233,DFW07LA022,ACC,2006-11-07,2006-11-07 18:59:00.000,18:59,UTC,LA,71210,032315N,0092227W,32.518054,-92.040832
20061108X01625,DEN07IA021,INC,2006-11-06,2006-11-06 22:00:00.000,22:00,UTC,NM,87544,355247N,0106169W,35.879722,-106.269165
20061020X01542,DEN06WA133,ACC,2006-09-22,2006-09-22 12:20:00.000,12:20,UTC,NULL,0,053550N,0104159E,53.916667,10.699722
20060906X01297,LAX06FA277,ACC,2006-08-28,2006-08-28 22:06:00.000,22:06,UTC,NV,89430,385041N,1192950W,38.844722,-119.497222
20060622X00804,CHI06LA157,ACC,2006-06-18,2006-06-18 13:48:00.000,13:48,UTC,IL,61354,041217N,0089911W,41.351943,-89.153053
